name,year,GSDP,% Growth
Andhra Pradesh ,2014,524975.64,13.08
Andhra Pradesh ,2014,524975.64,15.1
Andhra Pradesh ,2014,524975.64,13.27
Andhra Pradesh ,2014,524975.64,14.86
Andhra Pradesh ,2014,524975.64,11.14
Andhra Pradesh ,2014,524975.64,10.57
Andhra Pradesh ,2014,524975.64,5.0
Andhra Pradesh ,2014,524975.64,18.47
Andhra Pradesh ,2015,604228.62,13.08
Andhra Pradesh ,2015,604228.62,15.1
Andhra Pradesh ,2015,604228.62,13.27
Andhra Pradesh ,2015,604228.62,14.86
Andhra Pradesh ,2015,604228.62,11.14
Andhra Pradesh ,2015,604228.62,10.57
Andhra Pradesh ,2015,604228.62,5.0
Andhra Pradesh ,2015,604228.62,18.47
Andhra Pradesh ,2016,684415.87,13.08
Andhra Pradesh ,2016,684415.87,15.1
Andhra Pradesh ,2016,684415.87,13.27
Andhra Pradesh ,2016,684415.87,14.86
Andhra Pradesh ,2016,684415.87,11.14
Andhra Pradesh ,2016,684415.87,10.57
Andhra Pradesh ,2016,684415.87,5.0
Andhra Pradesh ,2016,684415.87,18.47
Andhra Pradesh ,2017,786135.42,13.08
Andhra Pradesh ,2017,786135.42,15.1
Andhra Pradesh ,2017,786135.42,13.27
Andhra Pradesh ,2017,786135.42,14.86
Andhra Pradesh ,2017,786135.42,11.14
Andhra Pradesh ,2017,786135.42,10.57
Andhra Pradesh ,2017,786135.42,5.0
Andhra Pradesh ,2017,786135.42,18.47
Andhra Pradesh ,2018,873721.11,13.08
Andhra Pradesh ,2018,873721.11,15.1
Andhra Pradesh ,2018,873721.11,13.27
Andhra Pradesh ,2018,873721.11,14.86
Andhra Pradesh ,2018,873721.11,11.14
Andhra Pradesh ,2018,873721.11,10.57
Andhra Pradesh ,2018,873721.11,5.0
Andhra Pradesh ,2018,873721.11,18.47
Andhra Pradesh ,2019,966099.05,13.08
Andhra Pradesh ,2019,966099.05,15.1
Andhra Pradesh ,2019,966099.05,13.27
Andhra Pradesh ,2019,966099.05,14.86
Andhra Pradesh ,2019,966099.05,11.14
Andhra Pradesh ,2019,966099.05,10.57
Andhra Pradesh ,2019,966099.05,5.0
Andhra Pradesh ,2019,966099.05,18.47
Andhra Pradesh ,2020,1014373.79,13.08
Andhra Pradesh ,2020,1014373.79,15.1
Andhra Pradesh ,2020,1014373.79,13.27
Andhra Pradesh ,2020,1014373.79,14.86
Andhra Pradesh ,2020,1014373.79,11.14
Andhra Pradesh ,2020,1014373.79,10.57
Andhra Pradesh ,2020,1014373.79,5.0
Andhra Pradesh ,2020,1014373.79,18.47
Andhra Pradesh ,2021,1201735.52,13.08
Andhra Pradesh ,2021,1201735.52,15.1
Andhra Pradesh ,2021,1201735.52,13.27
Andhra Pradesh ,2021,1201735.52,14.86
Andhra Pradesh ,2021,1201735.52,11.14
Andhra Pradesh ,2021,1201735.52,10.57
Andhra Pradesh ,2021,1201735.52,5.0
Andhra Pradesh ,2021,1201735.52,18.47
Arunachal Pradesh,2014,17959.41,23.17
Arunachal Pradesh,2014,17959.41,3.06
Arunachal Pradesh,2014,17959.41,7.53
Arunachal Pradesh,2014,17959.41,12.93
Arunachal Pradesh,2014,17959.41,12.71
Arunachal Pradesh,2014,17959.41,10.08
Arunachal Pradesh,2014,17959.41,6.49
Arunachal Pradesh,2014,17959.41,
Arunachal Pradesh,2015,18509.16,23.17
Arunachal Pradesh,2015,18509.16,3.06
Arunachal Pradesh,2015,18509.16,7.53
Arunachal Pradesh,2015,18509.16,12.93
Arunachal Pradesh,2015,18509.16,12.71
Arunachal Pradesh,2015,18509.16,10.08
Arunachal Pradesh,2015,18509.16,6.49
Arunachal Pradesh,2015,18509.16,
Arunachal Pradesh,2016,19902.12,23.17
Arunachal Pradesh,2016,19902.12,3.06
Arunachal Pradesh,2016,19902.12,7.53
Arunachal Pradesh,2016,19902.12,12.93
Arunachal Pradesh,2016,19902.12,12.71
Arunachal Pradesh,2016,19902.12,10.08
Arunachal Pradesh,2016,19902.12,6.49
Arunachal Pradesh,2016,19902.12,
Arunachal Pradesh,2017,22474.78,23.17
Arunachal Pradesh,2017,22474.78,3.06
Arunachal Pradesh,2017,22474.78,7.53
Arunachal Pradesh,2017,22474.78,12.93
Arunachal Pradesh,2017,22474.78,12.71
Arunachal Pradesh,2017,22474.78,10.08
Arunachal Pradesh,2017,22474.78,6.49
Arunachal Pradesh,2017,22474.78,
Arunachal Pradesh,2018,25330.85,23.17
Arunachal Pradesh,2018,25330.85,3.06
Arunachal Pradesh,2018,25330.85,7.53
Arunachal Pradesh,2018,25330.85,12.93
Arunachal Pradesh,2018,25330.85,12.71
Arunachal Pradesh,2018,25330.85,10.08
Arunachal Pradesh,2018,25330.85,6.49
Arunachal Pradesh,2018,25330.85,
Arunachal Pradesh,2019,27884.63,23.17
Arunachal Pradesh,2019,27884.63,3.06
Arunachal Pradesh,2019,27884.63,7.53
Arunachal Pradesh,2019,27884.63,12.93
Arunachal Pradesh,2019,27884.63,12.71
Arunachal Pradesh,2019,27884.63,10.08
Arunachal Pradesh,2019,27884.63,6.49
Arunachal Pradesh,2019,27884.63,
Arunachal Pradesh,2020,29694.51,23.17
Arunachal Pradesh,2020,29694.51,3.06
Arunachal Pradesh,2020,29694.51,7.53
Arunachal Pradesh,2020,29694.51,12.93
Arunachal Pradesh,2020,29694.51,12.71
Arunachal Pradesh,2020,29694.51,10.08
Arunachal Pradesh,2020,29694.51,6.49
Arunachal Pradesh,2020,29694.51,
Arunachal Pradesh,2021,,23.17
Arunachal Pradesh,2021,,3.06
Arunachal Pradesh,2021,,7.53
Arunachal Pradesh,2021,,12.93
Arunachal Pradesh,2021,,12.71
Arunachal Pradesh,2021,,10.08
Arunachal Pradesh,2021,,6.49
Arunachal Pradesh,2021,,
Assam,2014,195723.15,10.11
Assam,2014,195723.15,16.47
Assam,2014,195723.15,11.59
Assam,2014,195723.15,11.31
Assam,2014,195723.15,9.24
Assam,2014,195723.15,22.0
Assam,2014,195723.15,0.95
Assam,2014,195723.15,13.89
Assam,2015,227958.83,10.11
Assam,2015,227958.83,16.47
Assam,2015,227958.83,11.59
Assam,2015,227958.83,11.31
Assam,2015,227958.83,9.24
Assam,2015,227958.83,22.0
Assam,2015,227958.83,0.95
Assam,2015,227958.83,13.89
Assam,2016,254382.36,10.11
Assam,2016,254382.36,16.47
Assam,2016,254382.36,11.59
Assam,2016,254382.36,11.31
Assam,2016,254382.36,9.24
Assam,2016,254382.36,22.0
Assam,2016,254382.36,0.95
Assam,2016,254382.36,13.89
Assam,2017,283164.89,10.11
Assam,2017,283164.89,16.47
Assam,2017,283164.89,11.59
Assam,2017,283164.89,11.31
Assam,2017,283164.89,9.24
Assam,2017,283164.89,22.0
Assam,2017,283164.89,0.95
Assam,2017,283164.89,13.89
Assam,2018,309336.32,10.11
Assam,2018,309336.32,16.47
Assam,2018,309336.32,11.59
Assam,2018,309336.32,11.31
Assam,2018,309336.32,9.24
Assam,2018,309336.32,22.0
Assam,2018,309336.32,0.95
Assam,2018,309336.32,13.89
Assam,2019,377404.81,10.11
Assam,2019,377404.81,16.47
Assam,2019,377404.81,11.59
Assam,2019,377404.81,11.31
Assam,2019,377404.81,9.24
Assam,2019,377404.81,22.0
Assam,2019,377404.81,0.95
Assam,2019,377404.81,13.89
Assam,2020,381003.97,10.11
Assam,2020,381003.97,16.47
Assam,2020,381003.97,11.59
Assam,2020,381003.97,11.31
Assam,2020,381003.97,9.24
Assam,2020,381003.97,22.0
Assam,2020,381003.97,0.95
Assam,2020,381003.97,13.89
Assam,2021,433925.44,10.11
Assam,2021,433925.44,16.47
Assam,2021,433925.44,11.59
Assam,2021,433925.44,11.31
Assam,2021,433925.44,9.24
Assam,2021,433925.44,22.0
Assam,2021,433925.44,0.95
Assam,2021,433925.44,13.89
Bihar,2014,342950.94,8.15
Bihar,2014,342950.94,8.35
Bihar,2014,342950.94,13.31
Bihar,2014,342950.94,11.33
Bihar,2014,342950.94,12.64
Bihar,2014,342950.94,12.51
Bihar,2014,342950.94,4.14
Bihar,2014,342950.94,
Bihar,2015,371601.79,8.15
Bihar,2015,371601.79,8.35
Bihar,2015,371601.79,13.31
Bihar,2015,371601.79,11.33
Bihar,2015,371601.79,12.64
Bihar,2015,371601.79,12.51
Bihar,2015,371601.79,4.14
Bihar,2015,371601.79,
Bihar,2016,421051.5,8.15
Bihar,2016,421051.5,8.35
Bihar,2016,421051.5,13.31
Bihar,2016,421051.5,11.33
Bihar,2016,421051.5,12.64
Bihar,2016,421051.5,12.51
Bihar,2016,421051.5,4.14
Bihar,2016,421051.5,
Bihar,2017,468746.31,8.15
Bihar,2017,468746.31,8.35
Bihar,2017,468746.31,13.31
Bihar,2017,468746.31,11.33
Bihar,2017,468746.31,12.64
Bihar,2017,468746.31,12.51
Bihar,2017,468746.31,4.14
Bihar,2017,468746.31,
Bihar,2018,527975.82,8.15
Bihar,2018,527975.82,8.35
Bihar,2018,527975.82,13.31
Bihar,2018,527975.82,11.33
Bihar,2018,527975.82,12.64
Bihar,2018,527975.82,12.51
Bihar,2018,527975.82,4.14
Bihar,2018,527975.82,
Bihar,2019,594016.4,8.15
Bihar,2019,594016.4,8.35
Bihar,2019,594016.4,13.31
Bihar,2019,594016.4,11.33
Bihar,2019,594016.4,12.64
Bihar,2019,594016.4,12.51
Bihar,2019,594016.4,4.14
Bihar,2019,594016.4,
Bihar,2020,618628.16,8.15
Bihar,2020,618628.16,8.35
Bihar,2020,618628.16,13.31
Bihar,2020,618628.16,11.33
Bihar,2020,618628.16,12.64
Bihar,2020,618628.16,12.51
Bihar,2020,618628.16,4.14
Bihar,2020,618628.16,
Bihar,2021,,8.15
Bihar,2021,,8.35
Bihar,2021,,13.31
Bihar,2021,,11.33
Bihar,2021,,12.64
Bihar,2021,,12.51
Bihar,2021,,4.14
Bihar,2021,,
Chhattisgarh,2014,221118.11,6.91
Chhattisgarh,2014,221118.11,1.83
Chhattisgarh,2014,221118.11,16.72
Chhattisgarh,2014,221118.11,7.41
Chhattisgarh,2014,221118.11,12.69
Chhattisgarh,2014,221118.11,8.44
Chhattisgarh,2014,221118.11,1.54
Chhattisgarh,2014,221118.11,
Chhattisgarh,2015,225162.99,6.91
Chhattisgarh,2015,225162.99,1.83
Chhattisgarh,2015,225162.99,16.72
Chhattisgarh,2015,225162.99,7.41
Chhattisgarh,2015,225162.99,12.69
Chhattisgarh,2015,225162.99,8.44
Chhattisgarh,2015,225162.99,1.54
Chhattisgarh,2015,225162.99,
Chhattisgarh,2016,262801.75,6.91
Chhattisgarh,2016,262801.75,1.83
Chhattisgarh,2016,262801.75,16.72
Chhattisgarh,2016,262801.75,7.41
Chhattisgarh,2016,262801.75,12.69
Chhattisgarh,2016,262801.75,8.44
Chhattisgarh,2016,262801.75,1.54
Chhattisgarh,2016,262801.75,
Chhattisgarh,2017,282283.44,6.91
Chhattisgarh,2017,282283.44,1.83
Chhattisgarh,2017,282283.44,16.72
Chhattisgarh,2017,282283.44,7.41
Chhattisgarh,2017,282283.44,12.69
Chhattisgarh,2017,282283.44,8.44
Chhattisgarh,2017,282283.44,1.54
Chhattisgarh,2017,282283.44,
Chhattisgarh,2018,318101.13,6.91
Chhattisgarh,2018,318101.13,1.83
Chhattisgarh,2018,318101.13,16.72
Chhattisgarh,2018,318101.13,7.41
Chhattisgarh,2018,318101.13,12.69
Chhattisgarh,2018,318101.13,8.44
Chhattisgarh,2018,318101.13,1.54
Chhattisgarh,2018,318101.13,
Chhattisgarh,2019,344955.35,6.91
Chhattisgarh,2019,344955.35,1.83
Chhattisgarh,2019,344955.35,16.72
Chhattisgarh,2019,344955.35,7.41
Chhattisgarh,2019,344955.35,12.69
Chhattisgarh,2019,344955.35,8.44
Chhattisgarh,2019,344955.35,1.54
Chhattisgarh,2019,344955.35,
Chhattisgarh,2020,350269.83,6.91
Chhattisgarh,2020,350269.83,1.83
Chhattisgarh,2020,350269.83,16.72
Chhattisgarh,2020,350269.83,7.41
Chhattisgarh,2020,350269.83,12.69
Chhattisgarh,2020,350269.83,8.44
Chhattisgarh,2020,350269.83,1.54
Chhattisgarh,2020,350269.83,
Chhattisgarh,2021,,6.91
Chhattisgarh,2021,,1.83
Chhattisgarh,2021,,16.72
Chhattisgarh,2021,,7.41
Chhattisgarh,2021,,12.69
Chhattisgarh,2021,,8.44
Chhattisgarh,2021,,1.54
Chhattisgarh,2021,,
Goa,2014,47814.18,33.11
Goa,2014,47814.18,15.14
Goa,2014,47814.18,14.39
Goa,2014,47814.18,10.12
Goa,2014,47814.18,3.61
Goa,2014,47814.18,4.14
Goa,2014,47814.18,4.69
Goa,2014,47814.18,8.99
Goa,2015,55053.85,33.11
Goa,2015,55053.85,15.14
Goa,2015,55053.85,14.39
Goa,2015,55053.85,10.12
Goa,2015,55053.85,3.61
Goa,2015,55053.85,4.14
Goa,2015,55053.85,4.69
Goa,2015,55053.85,8.99
Goa,2016,62976.31,33.11
Goa,2016,62976.31,15.14
Goa,2016,62976.31,14.39
Goa,2016,62976.31,10.12
Goa,2016,62976.31,3.61
Goa,2016,62976.31,4.14
Goa,2016,62976.31,4.69
Goa,2016,62976.31,8.99
Goa,2017,69352.05,33.11
Goa,2017,69352.05,15.14
Goa,2017,69352.05,14.39
Goa,2017,69352.05,10.12
Goa,2017,69352.05,3.61
Goa,2017,69352.05,4.14
Goa,2017,69352.05,4.69
Goa,2017,69352.05,8.99
Goa,2018,71853.34,33.11
Goa,2018,71853.34,15.14
Goa,2018,71853.34,14.39
Goa,2018,71853.34,10.12
Goa,2018,71853.34,3.61
Goa,2018,71853.34,4.14
Goa,2018,71853.34,4.69
Goa,2018,71853.34,8.99
Goa,2019,74828.37,33.11
Goa,2019,74828.37,15.14
Goa,2019,74828.37,14.39
Goa,2019,74828.37,10.12
Goa,2019,74828.37,3.61
Goa,2019,74828.37,4.14
Goa,2019,74828.37,4.69
Goa,2019,74828.37,8.99
Goa,2020,78337.92,33.11
Goa,2020,78337.92,15.14
Goa,2020,78337.92,14.39
Goa,2020,78337.92,10.12
Goa,2020,78337.92,3.61
Goa,2020,78337.92,4.14
Goa,2020,78337.92,4.69
Goa,2020,78337.92,8.99
Goa,2021,85380.28,33.11
Goa,2021,85380.28,15.14
Goa,2021,85380.28,14.39
Goa,2021,85380.28,10.12
Goa,2021,85380.28,3.61
Goa,2021,85380.28,4.14
Goa,2021,85380.28,4.69
Goa,2021,85380.28,8.99
Gujarat,2014,921773.15,14.13
Gujarat,2014,921773.15,11.63
Gujarat,2014,921773.15,13.43
Gujarat,2014,921773.15,13.87
Gujarat,2014,921773.15,12.27
Gujarat,2014,921773.15,9.21
Gujarat,2014,921773.15,1.61
Gujarat,2014,921773.15,
Gujarat,2015,1029009.74,14.13
Gujarat,2015,1029009.74,11.63
Gujarat,2015,1029009.74,13.43
Gujarat,2015,1029009.74,13.87
Gujarat,2015,1029009.74,12.27
Gujarat,2015,1029009.74,9.21
Gujarat,2015,1029009.74,1.61
Gujarat,2015,1029009.74,
Gujarat,2016,1167155.58,14.13
Gujarat,2016,1167155.58,11.63
Gujarat,2016,1167155.58,13.43
Gujarat,2016,1167155.58,13.87
Gujarat,2016,1167155.58,12.27
Gujarat,2016,1167155.58,9.21
Gujarat,2016,1167155.58,1.61
Gujarat,2016,1167155.58,
Gujarat,2017,1329094.77,14.13
Gujarat,2017,1329094.77,11.63
Gujarat,2017,1329094.77,13.43
Gujarat,2017,1329094.77,13.87
Gujarat,2017,1329094.77,12.27
Gujarat,2017,1329094.77,9.21
Gujarat,2017,1329094.77,1.61
Gujarat,2017,1329094.77,
Gujarat,2018,1492155.71,14.13
Gujarat,2018,1492155.71,11.63
Gujarat,2018,1492155.71,13.43
Gujarat,2018,1492155.71,13.87
Gujarat,2018,1492155.71,12.27
Gujarat,2018,1492155.71,9.21
Gujarat,2018,1492155.71,1.61
Gujarat,2018,1492155.71,
Gujarat,2019,1629638.12,14.13
Gujarat,2019,1629638.12,11.63
Gujarat,2019,1629638.12,13.43
Gujarat,2019,1629638.12,13.87
Gujarat,2019,1629638.12,12.27
Gujarat,2019,1629638.12,9.21
Gujarat,2019,1629638.12,1.61
Gujarat,2019,1629638.12,
Gujarat,2020,1655916.77,14.13
Gujarat,2020,1655916.77,11.63
Gujarat,2020,1655916.77,13.43
Gujarat,2020,1655916.77,13.87
Gujarat,2020,1655916.77,12.27
Gujarat,2020,1655916.77,9.21
Gujarat,2020,1655916.77,1.61
Gujarat,2020,1655916.77,
Gujarat,2021,,14.13
Gujarat,2021,,11.63
Gujarat,2021,,13.43
Gujarat,2021,,13.87
Gujarat,2021,,12.27
Gujarat,2021,,9.21
Gujarat,2021,,1.61
Gujarat,2021,,
Haryana,2014,437144.71,9.49
Haryana,2014,437144.71,13.35
Haryana,2014,437144.71,13.3
Haryana,2014,437144.71,13.79
Haryana,2014,437144.71,9.29
Haryana,2014,437144.71,9.15
Haryana,2014,437144.71,-0.46
Haryana,2014,437144.71,18.08
Haryana,2015,495504.11,9.49
Haryana,2015,495504.11,13.35
Haryana,2015,495504.11,13.3
Haryana,2015,495504.11,13.79
Haryana,2015,495504.11,9.29
Haryana,2015,495504.11,9.15
Haryana,2015,495504.11,-0.46
Haryana,2015,495504.11,18.08
Haryana,2016,561424.17,9.49
Haryana,2016,561424.17,13.35
