name,year,NTL
Andaman and Nicobar,2014,18636
Telangana,2014,1255385
Andhra Pradesh,2014,1517461
Arunachal Pradesh,2014,120124
Assam,2014,746792
Bihar,2014,1005929
Chandigarh,2014,11365
Chhattisgarh,2014,1277299
Dādra and Nagar Haveli and Damān and Diu,2014,29151
Delhi,2014,123069
Goa,2014,58442
Gujarat,2014,1950256
Haryana,2014,976993
Himachal Pradesh,2014,276386
Jharkhand,2014,802074
Karnataka,2014,1894026
Kerala,2014,306420
Madhya Pradesh,2014,2856448
Maharashtra,2014,3112015
Manipur,2014,123252
Meghalaya,2014,177706
Mizoram,2014,111968
Nagaland,2014,121591
Orissa,2014,1403226
Puducherry,2014,18067
Punjab,2014,936042
Rajasthan,2014,3450012
Sikkim,2014,29942
Tamil Nadu,2014,1629708
Tripura,2014,123160
Uttar Pradesh,2014,3219277
Uttaranchal,2014,472583
West Bengal,2014,1186496
Lakshadweep,2014,818
Jammu and Kashmir,2014,502066
Ladakh,2014,201836
Andaman and Nicobar,2015,21359
Telangana,2015,1333209
Andhra Pradesh,2015,1615956
Arunachal Pradesh,2015,139318
Assam,2015,826849
Bihar,2015,1140513
Chandigarh,2015,11459
Chhattisgarh,2015,1372193
Dādra and Nagar Haveli and Damān and Diu,2015,30510
Delhi,2015,123739
Goa,2015,58985
Gujarat,2015,2055751
Haryana,2015,882221
Himachal Pradesh,2015,288187
Jharkhand,2015,869471
Karnataka,2015,2034068
Kerala,2015,341074
Madhya Pradesh,2015,2996969
Maharashtra,2015,3313906
Manipur,2015,117578
Meghalaya,2015,199230
Mizoram,2015,118047
Nagaland,2015,129373
Orissa,2015,1531170
Puducherry,2015,18301
Punjab,2015,906249
Rajasthan,2015,3593070
Sikkim,2015,33015
Tamil Nadu,2015,1711255
Tripura,2015,131314
Uttar Pradesh,2015,3321274
Uttaranchal,2015,492692
West Bengal,2015,1289467
Lakshadweep,2015,853
Jammu and Kashmir,2015,493735
Ladakh,2015,248197
Andaman and Nicobar,2016,17731
Telangana,2016,1246553
Andhra Pradesh,2016,1497008
Arunachal Pradesh,2016,98248
Assam,2016,695262
Bihar,2016,1211984
Chandigarh,2016,11497
